dept_name,gender,emp_no,from_date,to_date,calendar_year,active
Marketing,M,110022,1985-01-01,1991-10-01,1985,1
Marketing,M,110022,1985-01-01,1991-10-01,1986,1
Marketing,M,110022,1985-01-01,1991-10-01,1987,1
Marketing,M,110022,1985-01-01,1991-10-01,1988,1
Marketing,M,110022,1985-01-01,1991-10-01,1989,1
Marketing,M,110022,1985-01-01,1991-10-01,1990,1
Marketing,M,110022,1985-01-01,1991-10-01,1991,1
Marketing,M,110022,1985-01-01,1991-10-01,1992,0
Marketing,M,110022,1985-01-01,1991-10-01,1993,0
Marketing,M,110022,1985-01-01,1991-10-01,1994,0
Marketing,M,110022,1985-01-01,1991-10-01,1995,0
Marketing,M,110022,1985-01-01,1991-10-01,1996,0
Marketing,M,110022,1985-01-01,1991-10-01,1997,0
Marketing,M,110022,1985-01-01,1991-10-01,1998,0
Marketing,M,110022,1985-01-01,1991-10-01,1999,0
Marketing,M,110022,1985-01-01,1991-10-01,2000,0
Marketing,M,110039,1991-10-01,9999-01-01,1985,0
Marketing,M,110039,1991-10-01,9999-01-01,1986,0
Marketing,M,110039,1991-10-01,9999-01-01,1987,0
Marketing,M,110039,1991-10-01,9999-01-01,1988,0
Marketing,M,110039,1991-10-01,9999-01-01,1989,0
Marketing,M,110039,1991-10-01,9999-01-01,1990,0
Marketing,M,110039,1991-10-01,9999-01-01,1991,1
Marketing,M,110039,1991-10-01,9999-01-01,1992,1
Marketing,M,110039,1991-10-01,9999-01-01,1993,1
Marketing,M,110039,1991-10-01,9999-01-01,1994,1
Marketing,M,110039,1991-10-01,9999-01-01,1995,1
Marketing,M,110039,1991-10-01,9999-01-01,1996,1
Marketing,M,110039,1991-10-01,9999-01-01,1997,1
Marketing,M,110039,1991-10-01,9999-01-01,1998,1
Marketing,M,110039,1991-10-01,9999-01-01,1999,1
Marketing,M,110039,1991-10-01,9999-01-01,2000,1
Finance,M,110085,1985-01-01,1989-12-17,1985,1
Finance,M,110085,1985-01-01,1989-12-17,1986,1
Finance,M,110085,1985-01-01,1989-12-17,1987,1
Finance,M,110085,1985-01-01,1989-12-17,1988,1
Finance,M,110085,1985-01-01,1989-12-17,1989,1
Finance,M,110085,1985-01-01,1989-12-17,1990,0
Finance,M,110085,1985-01-01,1989-12-17,1991,0
Finance,M,110085,1985-01-01,1989-12-17,1992,0
Finance,M,110085,1985-01-01,1989-12-17,1993,0
Finance,M,110085,1985-01-01,1989-12-17,1994,0
Finance,M,110085,1985-01-01,1989-12-17,1995,0
Finance,M,110085,1985-01-01,1989-12-17,1996,0
Finance,M,110085,1985-01-01,1989-12-17,1997,0
Finance,M,110085,1985-01-01,1989-12-17,1998,0
Finance,M,110085,1985-01-01,1989-12-17,1999,0
Finance,M,110085,1985-01-01,1989-12-17,2000,0
Finance,F,110114,1989-12-17,9999-01-01,1985,0
Finance,F,110114,1989-12-17,9999-01-01,1986,0
Finance,F,110114,1989-12-17,9999-01-01,1987,0
Finance,F,110114,1989-12-17,9999-01-01,1988,0
Finance,F,110114,1989-12-17,9999-01-01,1989,1
Finance,F,110114,1989-12-17,9999-01-01,1990,1
Finance,F,110114,1989-12-17,9999-01-01,1991,1
Finance,F,110114,1989-12-17,9999-01-01,1992,1
Finance,F,110114,1989-12-17,9999-01-01,1993,1
Finance,F,110114,1989-12-17,9999-01-01,1994,1
Finance,F,110114,1989-12-17,9999-01-01,1995,1
Finance,F,110114,1989-12-17,9999-01-01,1996,1
Finance,F,110114,1989-12-17,9999-01-01,1997,1
Finance,F,110114,1989-12-17,9999-01-01,1998,1
Finance,F,110114,1989-12-17,9999-01-01,1999,1
Finance,F,110114,1989-12-17,9999-01-01,2000,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1985,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1986,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1987,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1988,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1989,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1990,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1991,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1992,1
"Human Resources",F,110183,1985-01-01,1992-03-21,1993,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1994,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1995,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1996,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1997,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1998,0
"Human Resources",F,110183,1985-01-01,1992-03-21,1999,0
"Human Resources",F,110183,1985-01-01,1992-03-21,2000,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1985,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1986,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1987,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1988,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1989,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1990,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1991,0
"Human Resources",F,110228,1992-03-21,9999-01-01,1992,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1993,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1994,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1995,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1996,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1997,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1998,1
"Human Resources",F,110228,1992-03-21,9999-01-01,1999,1
"Human Resources",F,110228,1992-03-21,9999-01-01,2000,1
Production,F,110303,1985-01-01,1988-09-09,1985,1
Production,F,110303,1985-01-01,1988-09-09,1986,1
Production,F,110303,1985-01-01,1988-09-09,1987,1
Production,F,110303,1985-01-01,1988-09-09,1988,1
Production,F,110303,1985-01-01,1988-09-09,1989,0
Production,F,110303,1985-01-01,1988-09-09,1990,0
Production,F,110303,1985-01-01,1988-09-09,1991,0
Production,F,110303,1985-01-01,1988-09-09,1992,0
